"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Georgia","13","2013","2013",472,9992167,4.7,4.8
,"Georgia","13","2014","2014",506,10097343,5.0,5.0
,"Georgia","13","2015","2015",581,10214860,5.7,5.7
,"Georgia","13","2016","2016",653,10310371,6.3,6.4
,"Georgia","13","2017","2017",666,10429379,6.4,6.5
,"Georgia","13","2018","2018",644,10519475,6.1,6.2
,"Georgia","13","2019","2019",691,10617423,6.5,6.7
,"Georgia","13","2020","2020",899,10710017,8.4,8.6
"Total","Georgia","13",,,6475,112313843,5.8,5.8
,"Hawaii","15","2016","2016",22,1428557,1.5,1.6
,"Hawaii","15","2018","2018",20,1420491,1.4,1.6
,"Hawaii","15","2019","2019",14,1415872,Unreliable,Unreliable
,"Hawaii","15","2020","2020",16,1407006,Unreliable,Unreliable
"Total","Hawaii","15",,,110,15482106,0.7,0.8
,"Idaho","16","2010","2010",12,1567582,Unreliable,Unreliable
,"Idaho","16","2011","2011",16,1584985,Unreliable,Unreliable
,"Idaho","16","2012","2012",18,1595728,Unreliable,Unreliable
,"Idaho","16","2013","2013",14,1612136,Unreliable,Unreliable
,"Idaho","16","2014","2014",21,1634464,1.3,1.4
,"Idaho","16","2015","2015",22,1654930,1.3,1.3
,"Idaho","16","2016","2016",15,1683140,Unreliable,Unreliable
,"Idaho","16","2017","2017",27,1716943,1.6,1.7
,"Idaho","16","2018","2018",31,1754208,1.8,1.8
,"Idaho","16","2019","2019",18,1787065,Unreliable,Unreliable
,"Idaho","16","2020","2020",26,1826913,1.4,1.6
"Total","Idaho","16",,,220,18418094,1.2,1.3
,"Illinois","17","2010","2010",577,12830632,4.5,4.5
,"Illinois","17","2011","2011",610,12869257,4.7,4.8
,"Illinois","17","2012","2012",645,12875255,5.0,5.1
,"Illinois","17","2013","2013",576,12882135,4.5,4.6
,"Illinois","17","2014","2014",614,12880580,4.8,4.9
,"Illinois","17","2015","2015",692,12859995,5.4,5.5
,"Illinois","17","2016","2016",944,12801539,7.4,7.6
,"Illinois","17","2017","2017",934,12802023,7.3,7.6
,"Illinois","17","2018","2018",784,12741080,6.2,6.4
,"Illinois","17","2019","2019",791,12671821,6.2,6.6
,"Illinois","17","2020","2020",1167,12587530,9.3,9.7
"Total","Illinois","17",,,8334,140801847,5.9,6.1
,"Indiana","18","2010","2010",223,6483802,3.4,3.5
,"Indiana","18","2011","2011",202,6516922,3.1,3.2
,"Indiana","18","2012","2012",251,6537334,3.8,4.0
,"Indiana","18","2013","2013",298,6570902,4.5,4.7
,"Indiana","18","2014","2014",259,6596855,3.9,4.0
,"Indiana","18","2015","2015",294,6619680,4.4,4.6
,"Indiana","18","2016","2016",368,6633053,5.5,5.8
,"Indiana","18","2017","2017",371,6666818,5.6,5.9
,"Indiana","18","2018","2018",364,6691878,5.4,5.8
,"Indiana","18","2019","2019",355,6732219,5.3,5.5
,"Indiana","18","2020","2020",496,6754953,7.3,7.8
"Total","Indiana","18",,,3481,72804416,4.8,5.0
,"Iowa","19","2010","2010",34,3046355,1.1,1.2
,"Iowa","19","2011","2011",31,3062309,1.0,1.1
,"Iowa","19","2012","2012",33,3074186,1.1,1.1
,"Iowa","19","2013","2013",24,3090416,0.8,0.9
,"Iowa","19","2014","2014",36,3107126,1.2,1.1
,"Iowa","19","2015","2015",47,3123899,1.5,1.7
,"Iowa","19","2016","2016",49,3134693,1.6,1.6
,"Iowa","19","2017","2017",64,3145711,2.0,2.1
,"Iowa","19","2018","2018",37,3156145,1.2,1.3
,"Iowa","19","2019","2019",49,3155070,1.6,1.7
,"Iowa","19","2020","2020",83,3163561,2.6,2.9
"Total","Iowa","19",,,487,34259471,1.4,1.5
,"Kansas","20","2010","2010",68,2853118,2.4,2.5
,"Kansas","20","2011","2011",81,2871238,2.8,2.9
,"Kansas","20","2012","2012",67,2885905,2.3,2.4
,"Kansas","20","2013","2013",79,2893957,2.7,2.8
,"Kansas","20","2014","2014",73,2904021,2.5,2.5
,"Kansas","20","2015","2015",95,2911641,3.3,3.4
,"Kansas","20","2016","2016",113,2907289,3.9,4.2
,"Kansas","20","2017","2017",137,2913123,4.7,4.9
,"Kansas","20","2018","2018",123,2911505,4.2,4.6
,"Kansas","20","2019","2019",99,2913314,3.4,3.5
,"Kansas","20","2020","2020",160,2913805,5.5,5.8
"Total","Kansas","20",,,1095,31878916,3.4,3.6
,"Kentucky","21","2010","2010",125,4339367,2.9,3.0
,"Kentucky","21","2011","2011",133,4369356,3.0,3.0
,"Kentucky","21","2012","2012",159,4380415,3.6,3.8
,"Kentucky","21","2013","2013",138,4395295,3.1,3.2
,"Kentucky","21","2014","2014",138,4413457,3.1,3.2
,"Kentucky","21","2015","2015",174,4425092,3.9,4.0
,"Kentucky","21","2016","2016",234,4436974,5.3,5.7
,"Kentucky","21","2017","2017",228,4454189,5.1,5.4
,"Kentucky","21","2018","2018",207,4468402,4.6,5.0
,"Kentucky","21","2019","2019",201,4467673,4.5,4.8
,"Kentucky","21","2020","2020",341,4477251,7.6,8.1
"Total","Kentucky","21",,,2078,48627471,4.3,4.5
,"Louisiana","22","2010","2010",432,4533372,9.5,9.6
,"Louisiana","22","2011","2011",431,4574836,9.4,9.5
,"Louisiana","22","2012","2012",428,4601893,9.3,9.4
,"Louisiana","22","2013","2013",446,4625470,9.6,9.9
,"Louisiana","22","2014","2014",421,4649676,9.1,9.2
,"Louisiana","22","2015","2015",456,4670724,9.8,10.0
,"Louisiana","22","2016","2016",526,4681666,11.2,11.7
,"Louisiana","22","2017","2017",534,4684333,11.4,11.9
,"Louisiana","22","2018","2018",497,4659978,10.7,11.2
,"Louisiana","22","2019","2019",542,4648794,11.7,12.4
,"Louisiana","22","2020","2020",747,4645318,16.1,17.1
"Total","Louisiana","22",,,5460,50976060,10.7,11.0
,"Maine","23","2010","2010",13,1328361,Unreliable,Unreliable
,"Maine","23","2011","2011",15,1328188,Unreliable,Unreliable
,"Maine","23","2012","2012",15,1329192,Unreliable,Unreliable
,"Maine","23","2013","2013",13,1328302,Unreliable,Unreliable
,"Maine","23","2014","2014",10,1330089,Unreliable,Unreliable
,"Maine","23","2015","2015",14,1329328,Unreliable,Unreliable
,"Maine","23","2017","2017",10,1335907,Unreliable,Unreliable
,"Maine","23","2019","2019",13,1344212,Unreliable,Unreliable
,"Maine","23","2020","2020",15,1350141,Unreliable,Unreliable
"Total","Maine","23",,,135,14673603,0.9,1.0
,"Maryland","24","2010","2010",306,5773552,5.3,5.4
,"Maryland","24","2011","2011",276,5828289,4.7,4.8
,"Maryland","24","2012","2012",294,5884563,5.0,5.1
,"Maryland","24","2013","2013",299,5928814,5.0,5.2
,"Maryland","24","2014","2014",249,5976407,4.2,4.3
,"Maryland","24","2015","2015",445,6006401,7.4,7.8
,"Maryland","24","2016","2016",436,6016447,7.2,7.6
,"Maryland","24","2017","2017",454,6052177,7.5,7.9
,"Maryland","24","2018","2018",426,6042718,7.0,7.4
,"Maryland","24","2019","2019",468,6045680,7.7,8.2
,"Maryland","24","2020","2020",526,6055802,8.7,9.3
"Total","Maryland","24",,,4179,65610850,6.4,6.6
,"Massachusetts","25","2010","2010",126,6547629,1.9,2.0
,"Massachusetts","25","2011","2011",128,6587536,1.9,2.0
,"Massachusetts","25","2012","2012",73,6646144,1.1,1.1
,"Massachusetts","25","2013","2013",83,6692824,1.2,1.3
,"Massachusetts","25","2014","2014",90,6745408,1.3,1.3
,"Massachusetts","25","2015","2015",86,6794422,1.3,1.3
,"Massachusetts","25","2016","2016",89,6811779,1.3,1.3
,"Massachusetts","25","2017","2017",103,6859819,1.5,1.6
,"Massachusetts","25","2018","2018",104,6902149,1.5,1.5
,"Massachusetts","25","2019","2019",95,6892503,1.4,1.4
,"Massachusetts","25","2020","2020",130,6893574,1.9,1.9
"Total","Massachusetts","25",,,1107,74373787,1.5,1.5
,"Michigan","26","2010","2010",440,9883640,4.5,4.7
,"Michigan","26","2011","2011",511,9876187,5.2,5.5
,"Michigan","26","2012","2012",579,9883360,5.9,6.1
,"Michigan","26","2013","2013",493,9895622,5.0,5.3
,"Michigan","26","2014","2014",411,9909877,4.1,4.4
,"Michigan","26","2015","2015",436,9922576,4.4,4.8
,"Michigan","26","2016","2016",482,9928300,4.9,5.2
,"Michigan","26","2017","2017",438,9962311,4.4,4.7
,"Michigan","26","2018","2018",479,9995915,4.8,5.1
,"Michigan","26","2019","2019",458,9986857,4.6,5.0
,"Michigan","26","2020","2020",672,9966555,6.7,7.3
"Total","Michigan","26",,,5399,109211200,4.9,5.3
,"Minnesota","27","2010","2010",65,5303925,1.2,1.2
,"Minnesota","27","2011","2011",59,5344861,1.1,1.1
,"Minnesota","27","2012","2012",61,5379139,1.1,1.1
,"Minnesota","27","2013","2013",76,5420380,1.4,1.4
,"Minnesota","27","2014","2014",59,5457173,1.1,1.1
,"Minnesota","27","2015","2015",92,5489594,1.7,1.8
,"Minnesota","27","2016","2016",83,5519952,1.5,1.6
,"Minnesota","27","2017","2017",78,5576606,1.4,1.5
,"Minnesota","27","2018","2018",66,5611179,1.2,1.3
,"Minnesota","27","2019","2019",102,5639632,1.8,1.9
,"Minnesota","27","2020","2020",138,5657342,2.4,2.5
"Total","Minnesota","27",,,879,60399783,1.5,1.5
,"Mississippi","28","2010","2010",205,2967297,6.9,7.1
,"Mississippi","28","2011","2011",221,2978512,7.4,7.7
,"Mississippi","28","2012","2012",216,2984926,7.2,7.6
,"Mississippi","28","2013","2013",215,2991207,7.2,7.5
,"Mississippi","28","2014","2014",259,2994079,8.7,9.0
,"Mississippi","28","2015","2015",264,2992333,8.8,9.2
,"Mississippi","28","2016","2016",282,2988726,9.4,9.9
,"Mississippi","28","2017","2017",295,2984100,9.9,10.4
,"Mississippi","28","2018","2018",320,2986530,10.7,11.4
,"Mississippi","28","2019","2019",366,2976149,12.3,13.1
,"Mississippi","28","2020","2020",499,2966786,16.8,17.9
"Total","Mississippi","28",,,3142,32810645,9.6,10.0
,"Missouri","29","2010","2010",335,5988927,5.6,5.8
,"Missouri","29","2011","2011",303,6010688,5.0,5.2
,"Missouri","29","2012","2012",311,6021988,5.2,5.4
,"Missouri","29","2013","2013",293,6044171,4.8,5.1
,"Missouri","29","2014","2014",327,6063589,5.4,5.7
,"Missouri","29","2015","2015",459,6083672,7.5,8.0
,"Missouri","29","2016","2016",464,6093000,7.6,8.2
,"Missouri","29","2017","2017",564,6113532,9.2,9.8
,"Missouri","29","2018","2018",556,6126452,9.1,9.8
,"Missouri","29","2019","2019",537,6137428,8.7,9.3
,"Missouri","29","2020","2020",683,6151548,11.1,12.0
"Total","Missouri","29",,,4832,66834995,7.2,7.7
,"Montana","30","2010","2010",17,989415,Unreliable,Unreliable
,"Montana","30","2011","2011",11,998199,Unreliable,Unreliable
,"Montana","30","2012","2012",10,1005141,Unreliable,Unreliable
,"Montana","30","2013","2013",14,1015165,Unreliable,Unreliable
,"Montana","30","2014","2014",14,1023579,Unreliable,Unreliable
,"Montana","30","2015","2015",20,1032949,1.9,2.2
,"Montana","30","2016","2016",18,1042520,Unreliable,Unreliable
,"Montana","30","2017","2017",21,1050493,2.0,2.1
,"Montana","30","2018","2018",20,1062305,1.9,2.0
,"Montana","30","2019","2019",24,1068778,2.2,2.3
,"Montana","30","2020","2020",33,1080577,3.1,3.5
"Total","Montana","30",,,202,11369121,1.8,1.9
,"Nebraska","31","2010","2010",41,1826341,2.2,2.4
,"Nebraska","31","2011","2011",41,1842641,2.2,2.4
,"Nebraska","31","2012","2012",46,1855525,2.5,2.6
,"Nebraska","31","2013","2013",51,1868516,2.7,2.8
,"Nebraska","31","2014","2014",39,1881503,2.1,2.1
,"Nebraska","31","2015","2015",50,1896190,2.6,2.7
,"Nebraska","31","2016","2016",45,1907116,2.4,2.5
,"Nebraska","31","2017","2017",29,1920076,1.5,1.6
,"Nebraska","31","2018","2018",25,1929268,1.3,1.4
,"Nebraska","31","2019","2019",40,1934408,2.1,2.1
,"Nebraska","31","2020","2020",49,1937552,2.5,2.6
"Total","Nebraska","31",,,456,20799136,2.2,2.3
,"Nevada","32","2010","2010",90,2700551,3.3,3.3
,"Nevada","32","2011","2011",84,2723322,3.1,3.2
,"Nevada","32","2012","2012",77,2758931,2.8,2.8
,"Nevada","32","2013","2013",88,2790136,3.2,3.2
,"Nevada","32","2014","2014",106,2839099,3.7,3.8
,"Nevada","32","2015","2015",128,2890845,4.4,4.5
,"Nevada","32","2016","2016",149,2940058,5.1,5.3
,"Nevada","32","2017","2017",153,2998039,5.1,5.4
,"Nevada","32","2018","2018",158,3034392,5.2,5.5
,"Nevada","32","2019","2019",118,3080156,3.8,4.0
,"Nevada","32","2020","2020",148,3138259,4.7,5.0
"Total","Nevada","32",,,1299,31893788,4.1,4.2
,"New Hampshire","33","2011","2011",10,1318194,Unreliable,Unreliable
,"New Hampshire","33","2012","2012",13,1320718,Unreliable,Unreliable
,"New Hampshire","33","2015","2015",12,1330608,Unreliable,Unreliable
,"New Hampshire","33","2018","2018",13,1356458,Unreliable,Unreliable
,"New Hampshire","33","2019","2019",20,1359711,1.5,1.5
"Total","New Hampshire","33",,,112,14696296,0.8,0.8
,"New Jersey","34","2010","2010",260,8791894,3.0,3.1
,"New Jersey","34","2011","2011",288,8821155,3.3,3.5
,"New Jersey","34","2012","2012",276,8864590,3.1,3.3
,"New Jersey","34","2013","2013",298,8899339,3.3,3.5
,"New Jersey","34","2014","2014",265,8938175,3.0,3.2
,"New Jersey","34","2015","2015",273,8958013,3.0,3.2
,"New Jersey","34","2016","2016",297,8944469,3.3,3.6
,"New Jersey","34","2017","2017",261,9005644,2.9,3.1
,"New Jersey","34","2018","2018",218,8908520,2.4,2.7
,"New Jersey","34","2019","2019",193,8882190,2.2,2.4
,"New Jersey","34","2020","2020",253,8882371,2.8,3.1
"Total","New Jersey","34",,,2882,97896360,2.9,3.2
,"New Mexico","35","2010","2010",76,2059179,3.7,3.9
,"New Mexico","35","2011","2011",73,2082224,3.5,3.7
,"New Mexico","35","2012","2012",80,2085538,3.8,3.9
,"New Mexico","35","2013","2013",82,2085287,3.9,4.1
,"New Mexico","35","2014","2014",76,2085572,3.6,3.8
,"New Mexico","35","2015","2015",91,2085109,4.4,4.8
,"New Mexico","35","2016","2016",113,2081015,5.4,5.8
,"New Mexico","35","2017","2017",101,2088070,4.8,5.1
,"New Mexico","35","2018","2018",136,2095428,6.5,6.9
,"New Mexico","35","2019","2019",158,2096829,7.5,8.2
,"New Mexico","35","2020","2020",149,2106319,7.1,7.5
"Total","New Mexico","35",,,1135,22950570,4.9,5.3
,"New York","36","2010","2010",527,19378102,2.7,2.7
,"New York","36","2011","2011",466,19465197,2.4,2.4
,"New York","36","2012","2012",436,19570261,2.2,2.2
,"New York","36","2013","2013",380,19651127,1.9,2.0
,"New York","36","2014","2014",372,19746227,1.9,1.9
,"New York","36","2015","2015",408,19795791,2.1,2.1
,"New York","36","2016","2016",390,19745289,2.0,2.0
,"New York","36","2017","2017",312,19849399,1.6,1.6
,"New York","36","2018","2018",356,19542209,1.8,1.9
,"New York","36","2019","2019",326,19453561,1.7,1.7
,"New York","36","2020","2020",561,19336776,2.9,3.0
"Total","New York","36",,,4534,215533939,2.1,2.1
,"North Carolina","37","2010","2010",376,9535483,3.9,4.0
,"North Carolina","37","2011","2011",380,9656401,3.9,4.0
,"North Carolina","37","2012","2012",422,9752073,4.3,4.4
,"North Carolina","37","2013","2013",412,9848060,4.2,4.3
,"North Carolina","37","2014","2014",391,9943964,3.9,4.0
,"North Carolina","37","2015","2015",438,10042802,4.4,4.6
,"North Carolina","37","2016","2016",558,10146788,5.5,5.7
,"North Carolina","37","2017","2017",522,10273419,5.1,5.3
,"North Carolina","37","2018","2018",489,10383620,4.7,4.9
,"North Carolina","37","2019","2019",541,10488084,5.2,5.4
,"North Carolina","37","2020","2020",744,10600823,7.0,7.3
"Total","North Carolina","37",,,5273,110671517,4.8,4.9
,"North Dakota","38","2015","2015",11,756927,Unreliable,Unreliable
,"North Dakota","38","2016","2016",10,757952,Unreliable,Unreliable
,"North Dakota","38","2018","2018",13,760077,Unreliable,Unreliable
,"North Dakota","38","2019","2019",10,762062,Unreliable,Unreliable
,"North Dakota","38","2020","2020",17,765309,Unreliable,Unreliable
"Total","North Dakota","38",,,105,8076746,1.3,1.4
,"Ohio","39","2010","2010",396,11536504,3.4,3.6
,"Ohio","39","2011","2011",453,11544951,3.9,4.1
,"Ohio","39","2012","2012",437,11544225,3.8,4.0
,"Ohio","39","2013","2013",447,11570808,3.9,4.1
,"Ohio","39","2014","2014",422,11594163,3.6,3.8
,"Ohio","39","2015","2015",484,11613423,4.2,4.4
,"Ohio","39","2016","2016",557,11614373,4.8,5.1
,"Ohio","39","2017","2017",621,11658609,5.3,5.7
,"Ohio","39","2018","2018",548,11689442,4.7,5.0
,"Ohio","39","2019","2019",565,11689100,4.8,5.2
,"Ohio","39","2020","2020",824,11693217,7.0,7.6
"Total","Ohio","39",,,5754,127748815,4.5,4.8
,"Oklahoma","40","2010","2010",131,3751351,3.5,3.6
,"Oklahoma","40","2011","2011",166,3791508,4.4,4.5
,"Oklahoma","40","2012","2012",188,3814820,4.9,5.1
,"Oklahoma","40","2013","2013",178,3850568,4.6,4.9
,"Oklahoma","40","2014","2014",157,3878051,4.0,4.2
,"Oklahoma","40","2015","2015",221,3911338,5.7,5.9
,"Oklahoma","40","2016","2016",238,3923561,6.1,6.4
,"Oklahoma","40","2017","2017",228,3930864,5.8,6.2
,"Oklahoma","40","2018","2018",185,3943079,4.7,4.9
,"Oklahoma","40","2019","2019",246,3956971,6.2,6.6
,"Oklahoma","40","2020","2020",269,3980783,6.8,7.1
"Total","Oklahoma","40",,,2207,42732894,5.2,5.4
,"Oregon","41","2010","2010",60,3831074,1.6,1.6
,"Oregon","41","2011","2011",62,3871859,1.6,1.6
,"Oregon","41","2012","2012",53,3899353,1.4,1.3
,"Oregon","41","2013","2013",54,3930065,1.4,1.4
,"Oregon","41","2014","2014",53,3970239,1.3,1.3
,"Oregon","41","2015","2015",94,4028977,2.3,2.4
,"Oregon","41","2016","2016",78,4093465,1.9,2.0
,"Oregon","41","2017","2017",73,4142776,1.8,1.9
,"Oregon","41","2018","2018",67,4190713,1.6,1.7
,"Oregon","41","2019","2019",78,4217737,1.8,1.9
,"Oregon","41","2020","2020",109,4241507,2.6,2.7
"Total","Oregon","41",,,781,44417765,1.8,1.8
,"Pennsylvania","42","2010","2010",501,12702379,3.9,4.1
,"Pennsylvania","42","2011","2011",512,12742886,4.0,4.2
,"Pennsylvania","42","2012","2012",547,12763536,4.3,4.6
,"Pennsylvania","42","2013","2013",486,12773801,3.8,4.1
,"Pennsylvania","42","2014","2014",466,12787209,3.6,3.9
,"Pennsylvania","42","2015","2015",522,12802503,4.1,4.4
,"Pennsylvania","42","2016","2016",538,12784227,4.2,4.5
,"Pennsylvania","42","2017","2017",602,12805537,4.7,5.1
,"Pennsylvania","42","2018","2018",581,12807060,4.5,4.9
,"Pennsylvania","42","2019","2019",548,12801989,4.3,4.7
,"Pennsylvania","42","2020","2020",788,12783254,6.2,6.7
"Total","Pennsylvania","42",,,6091,140554381,4.3,4.7
,"Rhode Island","44","2010","2010",17,1052567,Unreliable,Unreliable
,"Rhode Island","44","2011","2011",12,1051302,Unreliable,Unreliable
,"Rhode Island","44","2012","2012",15,1050292,Unreliable,Unreliable
,"Rhode Island","44","2013","2013",18,1051511,Unreliable,Unreliable
,"Rhode Island","44","2014","2014",13,1055173,Unreliable,Unreliable
,"Rhode Island","44","2015","2015",10,1056298,Unreliable,Unreliable
,"Rhode Island","44","2016","2016",13,1056426,Unreliable,Unreliable
,"Rhode Island","44","2017","2017",10,1059639,Unreliable,Unreliable
,"Rhode Island","44","2018","2018",13,1057315,Unreliable,Unreliable
,"Rhode Island","44","2019","2019",12,1059361,Unreliable,Unreliable
,"Rhode Island","44","2020","2020",22,1057125,2.1,2.2
"Total","Rhode Island","44",,,155,11607009,1.3,1.4
,"South Carolina","45","2010","2010",229,4625364,5.0,5.1
,"South Carolina","45","2011","2011",253,4679230,5.4,5.6
,"South Carolina","45","2012","2012",273,4723723,5.8,6.0
,"South Carolina","45","2013","2013",244,4774839,5.1,5.3
,"South Carolina","45","2014","2014",266,4832482,5.5,5.7
,"South Carolina","45","2015","2015",360,4896146,7.4,7.6
,"South Carolina","45","2016","2016",335,4961119,6.8,7.1
,"South Carolina","45","2017","2017",338,5024369,6.7,7.1
,"South Carolina","45","2018","2018",373,5084127,7.3,8.0
,"South Carolina","45","2019","2019",453,5148714,8.8,9.5
