"Notes","State","State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"New York","36","2011","2011","55-64 years","55-64",12,2389166,Unreliable
,"New York","36","2012","2012","15-24 years","15-24",182,2752157,6.6
,"New York","36","2012","2012","25-34 years","25-34",139,2757086,5.0
,"New York","36","2012","2012","35-44 years","35-44",63,2539594,2.5
,"New York","36","2012","2012","45-54 years","45-54",24,2840330,0.8
,"New York","36","2012","2012","55-64 years","55-64",11,2414879,Unreliable
,"New York","36","2013","2013","15-24 years","15-24",119,2720463,4.4
,"New York","36","2013","2013","25-34 years","25-34",134,2803717,4.8
,"New York","36","2013","2013","35-44 years","35-44",55,2519967,2.2
,"New York","36","2013","2013","45-54 years","45-54",44,2814951,1.6
,"New York","36","2013","2013","55-64 years","55-64",16,2457489,Unreliable
,"New York","36","2014","2014","15-24 years","15-24",145,2705929,5.4
,"New York","36","2014","2014","25-34 years","25-34",122,2847373,4.3
,"New York","36","2014","2014","35-44 years","35-44",51,2507973,2.0
,"New York","36","2014","2014","45-54 years","45-54",38,2788889,1.4
,"New York","36","2014","2014","55-64 years","55-64",10,2499610,Unreliable
,"New York","36","2015","2015","15-24 years","15-24",140,2670663,5.2
,"New York","36","2015","2015","25-34 years","25-34",143,2879618,5.0
,"New York","36","2015","2015","35-44 years","35-44",65,2495739,2.6
,"New York","36","2015","2015","45-54 years","45-54",29,2758889,1.1
,"New York","36","2015","2015","55-64 years","55-64",16,2544000,Unreliable
,"New York","36","2016","2016","15-24 years","15-24",129,2629279,4.9
,"New York","36","2016","2016","25-34 years","25-34",137,2890773,4.7
,"New York","36","2016","2016","35-44 years","35-44",71,2462561,2.9
,"New York","36","2016","2016","45-54 years","45-54",31,2706129,1.1
,"New York","36","2016","2016","55-64 years","55-64",14,2567707,Unreliable
,"New York","36","2017","2017","15-24 years","15-24",104,2586294,4.0
,"New York","36","2017","2017","25-34 years","25-34",105,2936919,3.6
,"New York","36","2017","2017","35-44 years","35-44",47,2465837,1.9
,"New York","36","2017","2017","45-54 years","45-54",31,2657210,1.2
,"New York","36","2017","2017","55-64 years","55-64",14,2600201,Unreliable
,"New York","36","2018","2018","15-24 years","15-24",103,2490630,4.1
,"New York","36","2018","2018","25-34 years","25-34",123,2878793,4.3
,"New York","36","2018","2018","35-44 years","35-44",64,2431864,2.6
,"New York","36","2018","2018","45-54 years","45-54",33,2555129,1.3
,"New York","36","2018","2018","55-64 years","55-64",15,2594621,Unreliable
,"New York","36","2019","2019","15-24 years","15-24",90,2445246,3.7
,"New York","36","2019","2019","25-34 years","25-34",134,2867651,4.7
,"New York","36","2019","2019","35-44 years","35-44",53,2429961,2.2
,"New York","36","2019","2019","45-54 years","45-54",27,2471804,1.1
,"New York","36","2020","2020","15-24 years","15-24",180,2397252,7.5
,"New York","36","2020","2020","25-34 years","25-34",212,2837548,7.5
,"New York","36","2020","2020","35-44 years","35-44",93,2431213,3.8
,"New York","36","2020","2020","45-54 years","45-54",40,2403511,1.7
,"New York","36","2020","2020","55-64 years","55-64",24,2584696,0.9
,"North Carolina","37","2010","2010","15-24 years","15-24",109,1321164,8.3
,"North Carolina","37","2010","2010","25-34 years","25-34",124,1246593,9.9
,"North Carolina","37","2010","2010","35-44 years","35-44",45,1327151,3.4
,"North Carolina","37","2010","2010","45-54 years","45-54",45,1368646,3.3
,"North Carolina","37","2010","2010","55-64 years","55-64",18,1138761,Unreliable
,"North Carolina","37","2010","2010","65-74 years","65-74",13,697567,Unreliable
,"North Carolina","37","2010","2010","75-84 years","75-84",11,389051,Unreliable
,"North Carolina","37","2011","2011","15-24 years","15-24",125,1332002,9.4
,"North Carolina","37","2011","2011","25-34 years","25-34",101,1262635,8.0
,"North Carolina","37","2011","2011","35-44 years","35-44",64,1316460,4.9
,"North Carolina","37","2011","2011","45-54 years","45-54",49,1369699,3.6
,"North Carolina","37","2011","2011","55-64 years","55-64",21,1187466,1.8
,"North Carolina","37","2012","2012","15-24 years","15-24",125,1347888,9.3
,"North Carolina","37","2012","2012","25-34 years","25-34",126,1267434,9.9
,"North Carolina","37","2012","2012","35-44 years","35-44",68,1312404,5.2
,"North Carolina","37","2012","2012","45-54 years","45-54",46,1366362,3.4
,"North Carolina","37","2012","2012","55-64 years","55-64",31,1199314,2.6
,"North Carolina","37","2012","2012","65-74 years","65-74",14,782121,Unreliable
,"North Carolina","37","2013","2013","15-24 years","15-24",127,1363129,9.3
,"North Carolina","37","2013","2013","25-34 years","25-34",125,1274545,9.8
,"North Carolina","37","2013","2013","35-44 years","35-44",74,1308964,5.7
,"North Carolina","37","2013","2013","45-54 years","45-54",42,1366545,3.1
,"North Carolina","37","2013","2013","55-64 years","55-64",31,1219917,2.5
,"North Carolina","37","2014","2014","15-24 years","15-24",120,1371202,8.8
,"North Carolina","37","2014","2014","25-34 years","25-34",118,1292250,9.1
,"North Carolina","37","2014","2014","35-44 years","35-44",56,1302758,4.3
,"North Carolina","37","2014","2014","45-54 years","45-54",42,1367565,3.1
,"North Carolina","37","2014","2014","55-64 years","55-64",22,1242592,1.8
,"North Carolina","37","2014","2014","65-74 years","65-74",17,867783,Unreliable
,"North Carolina","37","2015","2015","15-24 years","15-24",120,1380294,8.7
,"North Carolina","37","2015","2015","25-34 years","25-34",147,1308587,11.2
,"North Carolina","37","2015","2015","35-44 years","35-44",85,1295812,6.6
,"North Carolina","37","2015","2015","45-54 years","45-54",46,1372414,3.4
,"North Carolina","37","2015","2015","55-64 years","55-64",19,1270500,Unreliable
,"North Carolina","37","2016","2016","15-24 years","15-24",160,1365771,11.7
,"North Carolina","37","2016","2016","25-34 years","25-34",169,1335454,12.7
,"North Carolina","37","2016","2016","35-44 years","35-44",99,1290237,7.7
,"North Carolina","37","2016","2016","45-54 years","45-54",60,1385750,4.3
,"North Carolina","37","2016","2016","55-64 years","55-64",37,1300928,2.8
,"North Carolina","37","2016","2016","65-74 years","65-74",16,941813,Unreliable
,"North Carolina","37","2017","2017","15-24 years","15-24",141,1373437,10.3
,"North Carolina","37","2017","2017","25-34 years","25-34",156,1370247,11.4
,"North Carolina","37","2017","2017","35-44 years","35-44",107,1290678,8.3
,"North Carolina","37","2017","2017","45-54 years","45-54",49,1385509,3.5
,"North Carolina","37","2017","2017","55-64 years","55-64",37,1321678,2.8
,"North Carolina","37","2017","2017","65-74 years","65-74",16,981481,Unreliable
,"North Carolina","37","2018","2018","15-24 years","15-24",152,1382049,11.0
,"North Carolina","37","2018","2018","25-34 years","25-34",160,1393148,11.5
,"North Carolina","37","2018","2018","35-44 years","35-44",77,1295905,5.9
,"North Carolina","37","2018","2018","45-54 years","45-54",44,1377840,3.2
,"North Carolina","37","2018","2018","55-64 years","55-64",23,1342983,1.7
,"North Carolina","37","2018","2018","65-74 years","65-74",18,1010458,Unreliable
,"North Carolina","37","2019","2019","15-24 years","15-24",176,1387060,12.7
,"North Carolina","37","2019","2019","25-34 years","25-34",169,1416069,11.9
,"North Carolina","37","2019","2019","35-44 years","35-44",83,1303427,6.4
,"North Carolina","37","2019","2019","45-54 years","45-54",60,1364067,4.4
,"North Carolina","37","2019","2019","55-64 years","55-64",25,1362125,1.8
,"North Carolina","37","2019","2019","65-74 years","65-74",12,1046508,Unreliable
,"North Carolina","37","2020","2020","5-14 years","5-14",13,1298869,Unreliable
,"North Carolina","37","2020","2020","15-24 years","15-24",247,1396189,17.7
,"North Carolina","37","2020","2020","25-34 years","25-34",236,1436825,16.4
,"North Carolina","37","2020","2020","35-44 years","35-44",116,1316575,8.8
,"North Carolina","37","2020","2020","45-54 years","45-54",56,1356917,4.1
,"North Carolina","37","2020","2020","55-64 years","55-64",43,1374085,3.1
,"North Carolina","37","2020","2020","65-74 years","65-74",14,1084482,Unreliable
,"North Carolina","37","2020","2020","75-84 years","75-84",10,535819,Unreliable
,"Ohio","39","2010","2010","15-24 years","15-24",131,1586798,8.3
,"Ohio","39","2010","2010","25-34 years","25-34",131,1409959,9.3
,"Ohio","39","2010","2010","35-44 years","35-44",59,1479831,4.0
,"Ohio","39","2010","2010","45-54 years","45-54",40,1742191,2.3
,"Ohio","39","2010","2010","55-64 years","55-64",17,1452266,Unreliable
,"Ohio","39","2011","2011","15-24 years","15-24",158,1578593,10.0
,"Ohio","39","2011","2011","25-34 years","25-34",136,1425846,9.5
,"Ohio","39","2011","2011","35-44 years","35-44",70,1447885,4.8
,"Ohio","39","2011","2011","45-54 years","45-54",36,1710977,2.1
,"Ohio","39","2011","2011","55-64 years","55-64",26,1515607,1.7
,"Ohio","39","2011","2011","65-74 years","65-74",15,869272,Unreliable
,"Ohio","39","2012","2012","15-24 years","15-24",148,1575325,9.4
,"Ohio","39","2012","2012","25-34 years","25-34",123,1434514,8.6
,"Ohio","39","2012","2012","35-44 years","35-44",78,1428101,5.5
,"Ohio","39","2012","2012","45-54 years","45-54",40,1674522,2.4
,"Ohio","39","2012","2012","55-64 years","55-64",17,1529618,Unreliable
,"Ohio","39","2012","2012","65-74 years","65-74",11,923870,Unreliable
,"Ohio","39","2013","2013","5-14 years","5-14",10,1494514,Unreliable
,"Ohio","39","2013","2013","15-24 years","15-24",178,1573297,11.3
,"Ohio","39","2013","2013","25-34 years","25-34",126,1452141,8.7
,"Ohio","39","2013","2013","35-44 years","35-44",64,1416905,4.5
,"Ohio","39","2013","2013","45-54 years","45-54",44,1634933,2.7
,"Ohio","39","2013","2013","55-64 years","55-64",12,1555900,Unreliable
,"Ohio","39","2014","2014","5-14 years","5-14",17,1484273,Unreliable
,"Ohio","39","2014","2014","15-24 years","15-24",132,1563165,8.4
,"Ohio","39","2014","2014","25-34 years","25-34",139,1470692,9.5
,"Ohio","39","2014","2014","35-44 years","35-44",55,1407057,3.9
,"Ohio","39","2014","2014","45-54 years","45-54",50,1602965,3.1
,"Ohio","39","2014","2014","55-64 years","55-64",22,1576266,1.4
,"Ohio","39","2015","2015","15-24 years","15-24",157,1551979,10.1
,"Ohio","39","2015","2015","25-34 years","25-34",161,1486970,10.8
,"Ohio","39","2015","2015","35-44 years","35-44",69,1397157,4.9
,"Ohio","39","2015","2015","45-54 years","45-54",44,1577105,2.8
,"Ohio","39","2015","2015","55-64 years","55-64",30,1595430,1.9
,"Ohio","39","2016","2016","15-24 years","15-24",183,1539256,11.9
,"Ohio","39","2016","2016","25-34 years","25-34",161,1506910,10.7
,"Ohio","39","2016","2016","35-44 years","35-44",98,1380120,7.1
,"Ohio","39","2016","2016","45-54 years","45-54",54,1547688,3.5
,"Ohio","39","2016","2016","55-64 years","55-64",37,1605369,2.3
,"Ohio","39","2016","2016","65-74 years","65-74",10,1081030,Unreliable
,"Ohio","39","2017","2017","15-24 years","15-24",201,1532866,13.1
,"Ohio","39","2017","2017","25-34 years","25-34",213,1523761,14.0
,"Ohio","39","2017","2017","35-44 years","35-44",96,1381218,7.0
,"Ohio","39","2017","2017","45-54 years","45-54",59,1519416,3.9
,"Ohio","39","2017","2017","55-64 years","55-64",26,1612275,1.6
,"Ohio","39","2018","2018","15-24 years","15-24",158,1520799,10.4
,"Ohio","39","2018","2018","25-34 years","25-34",170,1545280,11.0
,"Ohio","39","2018","2018","35-44 years","35-44",90,1391192,6.5
,"Ohio","39","2018","2018","45-54 years","45-54",63,1484877,4.2
,"Ohio","39","2018","2018","55-64 years","55-64",37,1611548,2.3
,"Ohio","39","2018","2018","65-74 years","65-74",19,1150375,Unreliable
,"Ohio","39","2019","2019","5-14 years","5-14",12,1440279,Unreliable
,"Ohio","39","2019","2019","15-24 years","15-24",164,1507223,10.9
,"Ohio","39","2019","2019","25-34 years","25-34",200,1554378,12.9
,"Ohio","39","2019","2019","35-44 years","35-44",102,1397808,7.3
,"Ohio","39","2019","2019","45-54 years","45-54",39,1447581,2.7
,"Ohio","39","2019","2019","55-64 years","55-64",35,1604683,2.2
,"Ohio","39","2020","2020","5-14 years","5-14",21,1438483,1.5
,"Ohio","39","2020","2020","15-24 years","15-24",263,1493334,17.6
,"Ohio","39","2020","2020","25-34 years","25-34",281,1561808,18.0
,"Ohio","39","2020","2020","35-44 years","35-44",136,1410659,9.6
,"Ohio","39","2020","2020","45-54 years","45-54",57,1419979,4.0
,"Ohio","39","2020","2020","55-64 years","55-64",37,1586958,2.3
,"Ohio","39","2020","2020","65-74 years","65-74",13,1233236,Unreliable
,"Oklahoma","40","2010","2010","15-24 years","15-24",51,533726,9.6
,"Oklahoma","40","2010","2010","25-34 years","25-34",38,506755,7.5
,"Oklahoma","40","2010","2010","35-44 years","35-44",16,460937,Unreliable
,"Oklahoma","40","2010","2010","45-54 years","45-54",16,525611,Unreliable
,"Oklahoma","40","2011","2011","15-24 years","15-24",41,539297,7.6
,"Oklahoma","40","2011","2011","25-34 years","25-34",46,515703,8.9
,"Oklahoma","40","2011","2011","35-44 years","35-44",26,459654,5.7
,"Oklahoma","40","2011","2011","45-54 years","45-54",25,516711,4.8
,"Oklahoma","40","2011","2011","55-64 years","55-64",15,457541,Unreliable
,"Oklahoma","40","2012","2012","15-24 years","15-24",58,542106,10.7
,"Oklahoma","40","2012","2012","25-34 years","25-34",51,520896,9.8
,"Oklahoma","40","2012","2012","35-44 years","35-44",31,462737,6.7
,"Oklahoma","40","2012","2012","45-54 years","45-54",29,506474,5.7
,"Oklahoma","40","2012","2012","55-64 years","55-64",11,461599,Unreliable
,"Oklahoma","40","2013","2013","15-24 years","15-24",54,545392,9.9
,"Oklahoma","40","2013","2013","25-34 years","25-34",43,527072,8.2
,"Oklahoma","40","2013","2013","35-44 years","35-44",35,467793,7.5
,"Oklahoma","40","2013","2013","45-54 years","45-54",27,497489,5.4
,"Oklahoma","40","2014","2014","15-24 years","15-24",41,547201,7.5
,"Oklahoma","40","2014","2014","25-34 years","25-34",40,533110,7.5
,"Oklahoma","40","2014","2014","35-44 years","35-44",30,471644,6.4
,"Oklahoma","40","2014","2014","45-54 years","45-54",15,490546,Unreliable
,"Oklahoma","40","2014","2014","55-64 years","55-64",14,475218,Unreliable
,"Oklahoma","40","2015","2015","15-24 years","15-24",54,547697,9.9
,"Oklahoma","40","2015","2015","25-34 years","25-34",72,540239,13.3
,"Oklahoma","40","2015","2015","35-44 years","35-44",44,476292,9.2
,"Oklahoma","40","2015","2015","45-54 years","45-54",26,483988,5.4
,"Oklahoma","40","2015","2015","55-64 years","55-64",14,483511,Unreliable
,"Oklahoma","40","2016","2016","15-24 years","15-24",53,541468,9.8
,"Oklahoma","40","2016","2016","25-34 years","25-34",69,545460,12.6
,"Oklahoma","40","2016","2016","35-44 years","35-44",57,478784,11.9
,"Oklahoma","40","2016","2016","45-54 years","45-54",31,476602,6.5
,"Oklahoma","40","2016","2016","55-64 years","55-64",16,487868,Unreliable
,"Oklahoma","40","2017","2017","15-24 years","15-24",60,538537,11.1
,"Oklahoma","40","2017","2017","25-34 years","25-34",68,545596,12.5
,"Oklahoma","40","2017","2017","35-44 years","35-44",45,483208,9.3
,"Oklahoma","40","2017","2017","45-54 years","45-54",35,468780,7.5
,"Oklahoma","40","2017","2017","55-64 years","55-64",13,491296,Unreliable
,"Oklahoma","40","2018","2018","15-24 years","15-24",38,537830,7.1
,"Oklahoma","40","2018","2018","25-34 years","25-34",54,543218,9.9
,"Oklahoma","40","2018","2018","35-44 years","35-44",41,490388,8.4
,"Oklahoma","40","2018","2018","45-54 years","45-54",24,460310,5.2
,"Oklahoma","40","2018","2018","55-64 years","55-64",13,493444,Unreliable
,"Oklahoma","40","2018","2018","65-74 years","65-74",11,358646,Unreliable
,"Oklahoma","40","2019","2019","15-24 years","15-24",49,539562,9.1
,"Oklahoma","40","2019","2019","25-34 years","25-34",74,543593,13.6
,"Oklahoma","40","2019","2019","35-44 years","35-44",46,497873,9.2
,"Oklahoma","40","2019","2019","45-54 years","45-54",41,453536,9.0
,"Oklahoma","40","2019","2019","55-64 years","55-64",17,493694,Unreliable
,"Oklahoma","40","2020","2020","15-24 years","15-24",65,541920,12.0
,"Oklahoma","40","2020","2020","25-34 years","25-34",81,545036,14.9
,"Oklahoma","40","2020","2020","35-44 years","35-44",55,505948,10.9
,"Oklahoma","40","2020","2020","45-54 years","45-54",30,451176,6.6
,"Oklahoma","40","2020","2020","55-64 years","55-64",23,489970,4.7
,"Oregon","41","2010","2010","15-24 years","15-24",11,507908,Unreliable
,"Oregon","41","2010","2010","25-34 years","25-34",15,524144,Unreliable
,"Oregon","41","2010","2010","45-54 years","45-54",12,539075,Unreliable
,"Oregon","41","2011","2011","15-24 years","15-24",15,511993,Unreliable
,"Oregon","41","2011","2011","25-34 years","25-34",16,530505,Unreliable
,"Oregon","41","2011","2011","45-54 years","45-54",11,530021,Unreliable
,"Oregon","41","2012","2012","15-24 years","15-24",10,512676,Unreliable
,"Oregon","41","2012","2012","25-34 years","25-34",19,533081,Unreliable
,"Oregon","41","2013","2013","15-24 years","15-24",13,514457,Unreliable
,"Oregon","41","2013","2013","25-34 years","25-34",12,535780,Unreliable
,"Oregon","41","2014","2014","25-34 years","25-34",11,544037,Unreliable
,"Oregon","41","2014","2014","35-44 years","35-44",11,516534,Unreliable
,"Oregon","41","2015","2015","15-24 years","15-24",21,512391,4.1
,"Oregon","41","2015","2015","25-34 years","25-34",27,556974,4.8
,"Oregon","41","2015","2015","35-44 years","35-44",14,524109,Unreliable
,"Oregon","41","2015","2015","45-54 years","45-54",17,515250,Unreliable
,"Oregon","41","2016","2016","15-24 years","15-24",19,514122,Unreliable
,"Oregon","41","2016","2016","25-34 years","25-34",20,574842,3.5
,"Oregon","41","2016","2016","35-44 years","35-44",12,531899,Unreliable
,"Oregon","41","2016","2016","45-54 years","45-54",13,515568,Unreliable
,"Oregon","41","2017","2017","25-34 years","25-34",18,587032,Unreliable
,"Oregon","41","2017","2017","35-44 years","35-44",17,547174,Unreliable
,"Oregon","41","2017","2017","45-54 years","45-54",13,515456,Unreliable
,"Oregon","41","2018","2018","15-24 years","15-24",13,512608,Unreliable
,"Oregon","41","2018","2018","25-34 years","25-34",17,596485,Unreliable
,"Oregon","41","2018","2018","35-44 years","35-44",15,559767,Unreliable
,"Oregon","41","2019","2019","15-24 years","15-24",10,510237,Unreliable
,"Oregon","41","2019","2019","25-34 years","25-34",16,604284,Unreliable
,"Oregon","41","2019","2019","35-44 years","35-44",24,568712,4.2
,"Oregon","41","2019","2019","55-64 years","55-64",11,538950,Unreliable
,"Oregon","41","2020","2020","15-24 years","15-24",29,508405,5.7
,"Oregon","41","2020","2020","25-34 years","25-34",34,608219,5.6
,"Oregon","41","2020","2020","35-44 years","35-44",21,578539,3.6
,"Pennsylvania","42","2010","2010","15-24 years","15-24",211,1779212,11.9
,"Pennsylvania","42","2010","2010","25-34 years","25-34",129,1511119,8.5
,"Pennsylvania","42","2010","2010","35-44 years","35-44",78,1615669,4.8
,"Pennsylvania","42","2010","2010","45-54 years","45-54",45,1940404,2.3
,"Pennsylvania","42","2010","2010","55-64 years","55-64",20,1622344,1.2
,"Pennsylvania","42","2011","2011","15-24 years","15-24",223,1770524,12.6
,"Pennsylvania","42","2011","2011","25-34 years","25-34",138,1547015,8.9
,"Pennsylvania","42","2011","2011","35-44 years","35-44",75,1576123,4.8
,"Pennsylvania","42","2011","2011","45-54 years","45-54",35,1915798,1.8
,"Pennsylvania","42","2011","2011","55-64 years","55-64",21,1694836,1.2
,"Pennsylvania","42","2012","2012","15-24 years","15-24",221,1756001,12.6
,"Pennsylvania","42","2012","2012","25-34 years","25-34",150,1576531,9.5
,"Pennsylvania","42","2012","2012","35-44 years","35-44",89,1549892,5.7
,"Pennsylvania","42","2012","2012","45-54 years","45-54",48,1880836,2.6
,"Pennsylvania","42","2012","2012","55-64 years","55-64",22,1710262,1.3
,"Pennsylvania","42","2013","2013","15-24 years","15-24",170,1726198,9.8
,"Pennsylvania","42","2013","2013","25-34 years","25-34",133,1611833,8.3
,"Pennsylvania","42","2013","2013","35-44 years","35-44",92,1529401,6.0
,"Pennsylvania","42","2013","2013","45-54 years","45-54",49,1840179,2.7
,"Pennsylvania","42","2013","2013","55-64 years","55-64",17,1740849,Unreliable
,"Pennsylvania","42","2014","2014","15-24 years","15-24",158,1704507,9.3
,"Pennsylvania","42","2014","2014","25-34 years","25-34",143,1640158,8.7
,"Pennsylvania","42","2014","2014","35-44 years","35-44",91,1512781,6.0
,"Pennsylvania","42","2014","2014","45-54 years","45-54",42,1804769,2.3
,"Pennsylvania","42","2014","2014","55-64 years","55-64",16,1767678,Unreliable
,"Pennsylvania","42","2015","2015","15-24 years","15-24",197,1683766,11.7
,"Pennsylvania","42","2015","2015","25-34 years","25-34",159,1663067,9.6
,"Pennsylvania","42","2015","2015","35-44 years","35-44",86,1499308,5.7
,"Pennsylvania","42","2015","2015","45-54 years","45-54",45,1773653,2.5
,"Pennsylvania","42","2015","2015","55-64 years","55-64",16,1791880,Unreliable
,"Pennsylvania","42","2016","2016","5-14 years","5-14",10,1486119,Unreliable
,"Pennsylvania","42","2016","2016","15-24 years","15-24",180,1664519,10.8
,"Pennsylvania","42","2016","2016","25-34 years","25-34",201,1677711,12.0
,"Pennsylvania","42","2016","2016","35-44 years","35-44",68,1481167,4.6
,"Pennsylvania","42","2016","2016","45-54 years","45-54",52,1735172,3.0
,"Pennsylvania","42","2016","2016","55-64 years","55-64",16,1804053,Unreliable
,"Pennsylvania","42","2017","2017","5-14 years","5-14",11,1484107,Unreliable
,"Pennsylvania","42","2017","2017","15-24 years","15-24",215,1647958,13.0
,"Pennsylvania","42","2017","2017","25-34 years","25-34",196,1688589,11.6
,"Pennsylvania","42","2017","2017","35-44 years","35-44",84,1485441,5.7
,"Pennsylvania","42","2017","2017","45-54 years","45-54",58,1699108,3.4
,"Pennsylvania","42","2017","2017","55-64 years","55-64",23,1811818,1.3
,"Pennsylvania","42","2018","2018","15-24 years","15-24",194,1625349,11.9
,"Pennsylvania","42","2018","2018","25-34 years","25-34",204,1701106,12.0
,"Pennsylvania","42","2018","2018","35-44 years","35-44",84,1498545,5.6
,"Pennsylvania","42","2018","2018","45-54 years","45-54",46,1652781,2.8
,"Pennsylvania","42","2018","2018","55-64 years","55-64",27,1809805,1.5
,"Pennsylvania","42","2018","2018","65-74 years","65-74",14,1310750,Unreliable
,"Pennsylvania","42","2019","2019","15-24 years","15-24",174,1603208,10.9
,"Pennsylvania","42","2019","2019","25-34 years","25-34",185,1709136,10.8
,"Pennsylvania","42","2019","2019","35-44 years","35-44",99,1513739,6.5
,"Pennsylvania","42","2019","2019","45-54 years","45-54",39,1604097,2.4
,"Pennsylvania","42","2019","2019","55-64 years","55-64",24,1804883,1.3
,"Pennsylvania","42","2019","2019","65-74 years","65-74",10,1354093,Unreliable
,"Pennsylvania","42","2020","2020","5-14 years","5-14",12,1470812,Unreliable
,"Pennsylvania","42","2020","2020","15-24 years","15-24",264,1583131,16.7
,"Pennsylvania","42","2020","2020","25-34 years","25-34",287,1707051,16.8
,"Pennsylvania","42","2020","2020","35-44 years","35-44",120,1534009,7.8
,"Pennsylvania","42","2020","2020","45-54 years","45-54",63,1561391,4.0
,"Pennsylvania","42","2020","2020","55-64 years","55-64",27,1790069,1.5
,"South Carolina","45","2010","2010","15-24 years","15-24",68,661483,10.3
,"South Carolina","45","2010","2010","25-34 years","25-34",75,592056,12.7
,"South Carolina","45","2010","2010","35-44 years","35-44",41,601292,6.8
,"South Carolina","45","2010","2010","45-54 years","45-54",23,659428,3.5
,"South Carolina","45","2010","2010","55-64 years","55-64",13,583795,Unreliable
,"South Carolina","45","2011","2011","15-24 years","15-24",78,661100,11.8
,"South Carolina","45","2011","2011","25-34 years","25-34",72,601481,12.0
,"South Carolina","45","2011","2011","35-44 years","35-44",44,593290,7.4
,"South Carolina","45","2011","2011","45-54 years","45-54",30,657900,4.6
,"South Carolina","45","2011","2011","55-64 years","55-64",16,606691,Unreliable
,"South Carolina","45","2012","2012","15-24 years","15-24",82,662714,12.4
,"South Carolina","45","2012","2012","25-34 years","25-34",84,607408,13.8
,"South Carolina","45","2012","2012","35-44 years","35-44",45,592894,7.6
,"South Carolina","45","2012","2012","45-54 years","45-54",33,652738,5.1
,"South Carolina","45","2012","2012","55-64 years","55-64",14,610723,Unreliable
,"South Carolina","45","2012","2012","65-74 years","65-74",10,417065,Unreliable
,"South Carolina","45","2013","2013","15-24 years","15-24",67,666672,10.0
,"South Carolina","45","2013","2013","25-34 years","25-34",66,614216,10.7
,"South Carolina","45","2013","2013","35-44 years","35-44",45,594770,7.6
,"South Carolina","45","2013","2013","45-54 years","45-54",28,650169,4.3
,"South Carolina","45","2013","2013","55-64 years","55-64",15,620062,Unreliable
,"South Carolina","45","2013","2013","65-74 years","65-74",10,440924,Unreliable
,"South Carolina","45","2014","2014","15-24 years","15-24",92,663381,13.9
,"South Carolina","45","2014","2014","25-34 years","25-34",83,628071,13.2
,"South Carolina","45","2014","2014","35-44 years","35-44",36,595609,6.0
,"South Carolina","45","2014","2014","45-54 years","45-54",23,648906,3.5
,"South Carolina","45","2014","2014","55-64 years","55-64",19,631307,Unreliable
,"South Carolina","45","2015","2015","15-24 years","15-24",98,663432,14.8
,"South Carolina","45","2015","2015","25-34 years","25-34",121,641465,18.9
,"South Carolina","45","2015","2015","35-44 years","35-44",56,597298,9.4
,"South Carolina","45","2015","2015","45-54 years","45-54",37,649585,5.7
,"South Carolina","45","2015","2015","55-64 years","55-64",25,644291,3.9
,"South Carolina","45","2015","2015","65-74 years","65-74",11,489483,Unreliable
,"South Carolina","45","2016","2016","15-24 years","15-24",93,656580,14.2
,"South Carolina","45","2016","2016","25-34 years","25-34",106,655031,16.2
,"South Carolina","45","2016","2016","35-44 years","35-44",58,599410,9.7
,"South Carolina","45","2016","2016","45-54 years","45-54",34,652087,5.2
,"South Carolina","45","2016","2016","55-64 years","55-64",26,658202,4.0
,"South Carolina","45","2016","2016","65-74 years","65-74",10,513286,Unreliable
,"South Carolina","45","2017","2017","15-24 years","15-24",86,657090,13.1
,"South Carolina","45","2017","2017","25-34 years","25-34",115,665507,17.3
,"South Carolina","45","2017","2017","35-44 years","35-44",59,604153,9.8
,"South Carolina","45","2017","2017","45-54 years","45-54",34,650334,5.2
,"South Carolina","45","2017","2017","55-64 years","55-64",18,667336,Unreliable
,"South Carolina","45","2017","2017","65-74 years","65-74",12,533550,Unreliable
,"South Carolina","45","2018","2018","15-24 years","15-24",116,655968,17.7
,"South Carolina","45","2018","2018","25-34 years","25-34",115,673890,17.1
,"South Carolina","45","2018","2018","35-44 years","35-44",72,611397,11.8
,"South Carolina","45","2018","2018","45-54 years","45-54",33,646458,5.1
,"South Carolina","45","2018","2018","55-64 years","55-64",21,678299,3.1
,"South Carolina","45","2019","2019","15-24 years","15-24",144,655402,22.0
,"South Carolina","45","2019","2019","25-34 years","25-34",132,682854,19.3
,"South Carolina","45","2019","2019","35-44 years","35-44",77,620504,12.4
,"South Carolina","45","2019","2019","45-54 years","45-54",50,640607,7.8
,"South Carolina","45","2019","2019","55-64 years","55-64",25,689144,3.6
,"South Carolina","45","2020","2020","5-14 years","5-14",10,636139,Unreliable
,"South Carolina","45","2020","2020","15-24 years","15-24",170,659242,25.8
,"South Carolina","45","2020","2020","25-34 years","25-34",181,689645,26.2
,"South Carolina","45","2020","2020","35-44 years","35-44",71,630338,11.3
,"South Carolina","45","2020","2020","45-54 years","45-54",55,638142,8.6
,"South Carolina","45","2020","2020","55-64 years","55-64",25,696863,3.6
,"South Dakota","46","2020","2020","25-34 years","25-34",11,115109,Unreliable
,"Tennessee","47","2010","2010","15-24 years","15-24",78,863430,9.0
,"Tennessee","47","2010","2010","25-34 years","25-34",84,823997,10.2
,"Tennessee","47","2010","2010","35-44 years","35-44",47,854130,5.5
,"Tennessee","47","2010","2010","45-54 years","45-54",33,926436,3.6
